t,v,vw,o,c,h,l,n,otc
2023-05-17 13:30:00,0.1161,347.24,347.36,347.36,347.36,347.36,2,True
2023-05-17 13:34:00,2.4038,327.6,327.6,327.6,327.6,327.6,1,True
2023-05-17 13:35:00,1.7925,312.0,312.0,312.0,312.0,312.0,2,True
2023-05-17 13:36:00,1.1883,294.96,294.96,294.96,294.96,294.96,1,True
2023-05-17 13:38:00,2.4038,300.96,300.96,300.96,300.96,300.96,1,True
2023-05-17 13:45:00,2.0192,313.96,322.4,315.12,322.4,312.0,3,True
2023-05-17 13:46:00,2.6923,298.68,296.4,301.08,301.08,296.4,2,True
2023-05-17 13:47:00,2.4213,291.0,282.88,305.76,305.76,275.6,4,True
2023-05-17 13:49:00,2.4038,280.8,280.8,280.8,280.8,280.8,1,True
2023-05-17 13:50:00,2.6442,297.84,296.4,312.0,312.0,296.4,2,True
2023-05-17 13:51:00,2.4038,293.16,296.28,280.8,296.28,280.8,2,True
2023-05-17 14:37:00,0.25,311.36,296.4,312.0,312.0,296.4,2,True
2023-05-17 14:46:00,0.0096,301.6,301.6,301.6,301.6,301.6,1,True
2023-05-17 15:29:00,1.2692,312.0,312.0,312.0,312.0,312.0,1,True
2023-05-17 16:06:00,1.5385,312.0,312.0,312.0,312.0,312.0,1,True
2023-05-17 16:11:00,1.9231,312.0,312.0,312.0,312.0,312.0,1,True
2023-05-17 16:32:00,0.625,311.8,311.8,311.8,311.8,311.8,1,True
2023-05-17 16:47:00,0.1058,312.0,312.0,312.0,312.0,312.0,1,True
2023-05-17 16:53:00,0.4087,301.6,301.6,301.6,301.6,301.6,1,True
2023-05-17 17:01:00,6.7308,291.2,291.2,291.2,291.2,291.2,2,True
2023-05-17 17:28:00,0.0192,306.28,312.0,300.56,312.0,300.56,2,True
2023-05-17 17:39:00,0.024,280.8,280.8,280.8,280.8,280.8,1,True
2023-05-17 17:54:00,0.1457,342.68,342.68,342.68,342.68,342.68,1,True
2023-05-17 18:51:00,0.0096,304.6,304.6,304.6,304.6,304.6,1,True
2023-05-17 19:51:00,1.0,321.76,322.4,306.8,322.4,306.8,2,True
2023-05-18 13:30:00,0.0465,301.6,301.6,301.6,301.6,301.6,2,True
2023-05-18 13:34:00,0.2404,310.96,310.96,310.96,310.96,310.96,1,True
2023-05-18 13:44:00,0.2882,334.88,334.88,334.88,334.88,334.88,1,True
2023-05-18 13:45:00,0.0129,301.6,301.6,301.6,301.6,301.6,1,True
2023-05-18 14:11:00,0.0192,314.6,317.2,312.0,317.2,312.0,2,True
2023-05-18 14:29:00,0.0096,315.12,315.12,315.12,315.12,315.12,1,True
2023-05-18 14:44:00,0.5877,323.96,323.96,323.96,323.96,323.96,1,True
2023-05-18 14:49:00,0.3214,332.8,332.8,332.8,332.8,332.8,1,True
2023-05-18 14:53:00,0.1923,332.8,332.8,332.8,332.8,332.8,1,True
2023-05-18 15:08:00,0.1056,332.8,332.8,332.8,332.8,332.8,1,True
2023-05-18 15:09:00,0.2801,332.8,332.8,332.8,332.8,332.8,1,True
2023-05-18 15:13:00,6.7371,331.04,332.8,329.68,332.8,329.68,5,True
2023-05-18 15:20:00,0.1683,311.08,312.0,301.6,312.0,301.6,2,True
2023-05-18 15:21:00,3.3654,301.6,301.6,301.6,301.6,301.6,2,True
2023-05-18 15:27:00,8.6952,286.0,286.0,286.0,286.0,286.0,2,True
2023-05-18 15:46:00,0.2404,323.44,323.44,323.44,323.44,323.44,1,True
2023-05-18 15:54:00,0.2885,299.0,299.0,299.0,299.0,299.0,1,True
2023-05-18 16:36:00,0.0096,306.8,306.8,306.8,306.8,306.8,1,True
2023-05-18 16:40:00,0.0769,303.68,303.68,303.68,303.68,303.68,1,True
2023-05-18 16:41:00,0.0288,301.6,301.6,301.6,301.6,301.6,1,True
2023-05-18 17:03:00,6.9802,301.6,301.6,301.6,301.6,301.6,4,True
2023-05-18 17:35:00,2.4038,318.24,318.24,318.24,318.24,318.24,1,True
2023-05-18 17:36:00,2.4038,317.2,317.2,317.2,317.2,317.2,1,True
2023-05-18 17:37:00,2.4038,312.0,312.0,312.0,312.0,312.0,1,True
2023-05-18 18:15:00,4.8077,312.0,312.0,312.0,312.0,312.0,1,True
2023-05-18 19:23:00,0.3269,304.2,304.2,304.2,304.2,304.2,1,True
2023-05-18 19:53:00,0.0962,322.4,322.4,322.4,322.4,322.4,1,True
2023-05-19 14:01:00,0.0096,299.0,299.0,299.0,299.0,299.0,1,True
2023-05-19 14:07:00,0.1154,291.2,293.8,286.0,293.8,286.0,2,True
2023-05-19 14:25:00,0.1731,312.0,312.0,312.0,312.0,312.0,1,True
2023-05-19 14:26:00,15.4808,310.76,312.0,312.0,312.0,309.4,5,True
2023-05-19 14:32:00,1.2913,312.0,312.0,312.0,312.0,312.0,2,True
2023-05-19 14:50:00,0.0096,328.64,328.64,328.64,328.64,328.64,1,True
2023-05-19 15:43:00,0.0128,314.2,314.2,314.2,314.2,314.2,1,True
2023-05-19 16:39:00,0.0673,323.44,323.44,323.44,323.44,323.44,1,True
2023-05-19 17:12:00,0.3846,317.2,317.24,317.24,317.24,317.24,1,True
2023-05-19 17:42:00,0.1431,314.2,314.2,314.2,314.2,314.2,1,True
2023-05-19 17:51:00,0.0129,323.44,323.44,323.44,323.44,323.44,1,True
2023-05-19 18:21:00,0.0288,331.88,331.88,331.88,331.88,331.88,1,True
2023-05-19 18:41:00,0.0641,317.2,317.24,317.24,317.24,317.24,1,True
2023-05-19 19:06:00,0.1923,314.08,314.08,314.08,314.08,314.08,1,True
2023-05-19 19:14:00,0.0641,317.2,317.24,317.24,317.24,317.24,1,True
2023-05-19 19:30:00,0.0641,317.2,317.24,317.24,317.24,317.24,1,True
2023-05-19 19:33:00,0.2404,332.8,332.8,332.8,332.8,332.8,1,True
2023-05-19 19:55:00,2.8117,331.76,332.8,315.12,332.8,315.12,2,True
2023-05-22 13:30:00,0.1034,315.12,315.12,315.12,315.12,315.12,3,True
2023-05-22 13:48:00,0.0096,328.12,328.12,328.12,328.12,328.12,1,True
2023-05-22 14:01:00,0.0096,328.12,328.12,328.12,328.12,328.12,1,True
2023-05-22 14:03:00,0.0096,328.12,328.12,328.12,328.12,328.12,1,True
2023-05-22 15:04:00,9.9231,332.8,332.8,332.8,332.8,332.8,3,True
2023-05-22 15:19:00,0.2404,328.64,328.64,328.64,328.64,328.64,1,True
2023-05-22 15:38:00,0.0096,326.16,326.16,326.16,326.16,326.16,1,True
2023-05-22 15:50:00,0.0834,322.4,322.4,322.4,322.4,322.4,1,True
2023-05-22 16:21:00,0.0129,331.76,331.76,331.76,331.76,331.76,1,True
2023-05-22 16:29:00,0.0096,331.76,331.76,331.76,331.76,331.76,1,True
2023-05-22 16:38:00,1.9231,331.64,331.64,331.64,331.64,331.64,1,True
2023-05-22 16:45:00,4.8077,340.72,339.24,341.12,341.12,339.24,3,True
2023-05-22 16:58:00,5.7692,340.8,339.24,341.12,341.12,339.24,2,True
2023-05-22 17:07:00,0.0267,326.16,326.16,326.16,326.16,326.16,1,True
2023-05-22 17:29:00,0.0129,332.8,332.8,332.8,332.8,332.8,1,True
2023-05-22 17:31:00,3.3654,332.8,332.8,332.8,332.8,332.8,1,True
2023-05-22 17:50:00,0.313,332.8,332.8,332.8,332.8,332.8,2,True
2023-05-22 18:07:00,0.0321,332.8,332.8,332.8,332.8,332.8,1,True
2023-05-22 18:13:00,0.1121,332.4,327.6,332.8,332.8,327.6,2,True
2023-05-22 18:16:00,2.4092,326.44,327.48,322.4,327.48,322.4,2,True
