t,v,vw,o,c,h,l,n,otc
2023-11-09 14:30:00,31.1538,15.5038,15.08,15.6,15.6,15.08,5,True
2023-11-09 14:31:00,57.6923,15.574,15.574,15.574,15.574,15.574,2,True
2023-11-09 14:32:00,38.4615,15.6,15.6,15.6,15.6,15.6,1,True
2023-11-09 15:31:00,46.4231,14.8226,14.82,14.82,14.82,14.82,2,True
2023-11-09 15:43:00,3.8462,14.82,14.82,14.82,14.82,14.82,1,True
2023-11-09 15:48:00,76.9231,14.82,14.82,14.82,14.82,14.82,1,True
2023-11-09 16:26:00,3.8462,14.885,14.885,14.885,14.885,14.885,1,True
2023-11-09 16:27:00,3.8462,15.34,15.34,15.34,15.34,15.34,1,True
2023-11-09 16:34:00,7.6923,15.1684,15.34,15.34,15.34,15.34,2,True
2023-11-09 16:47:00,153.8462,14.885,15.34,14.43,15.34,14.43,2,True
2023-11-09 17:52:00,19.2308,14.755,14.755,14.755,14.755,14.755,1,True
2023-11-09 19:05:00,38.4615,15.145,15.145,15.145,15.145,15.145,1,True
2023-11-09 19:06:00,19.2308,15.34,15.34,15.34,15.34,15.34,1,True
2023-11-09 19:17:00,50.0,15.34,15.34,15.34,15.34,15.34,2,True
2023-11-09 19:53:00,400.0,14.56,14.56,14.56,14.56,14.56,3,True
2023-11-09 20:04:00,3.8462,14.82,14.82,14.82,14.82,14.82,1,True
2023-11-09 20:30:00,7.6923,15.08,15.08,15.08,15.08,15.08,1,True
2023-11-09 20:45:00,336.8077,14.2012,14.56,13.806,14.56,13.806,9,True
2023-11-10 14:30:00,296.1538,14.3,14.3,14.3,14.3,14.3,5,True
2023-11-10 14:32:00,68.0769,14.04,14.04,14.04,14.04,14.04,1,True
2023-11-10 14:47:00,124.2308,14.3,14.3,14.3,14.3,14.3,1,True
2023-11-10 14:59:00,6.9231,14.82,14.82,14.82,14.82,14.82,1,True
2023-11-10 15:03:00,3.8462,15.5766,15.5766,15.5766,15.5766,15.5766,1,True
