t,v,vw,o,c,h,l,n,otc
2023-12-19 14:30:00,200,0.05,0.05,0.05,0.05,0.05,1,True
2023-12-19 15:15:00,38200,0.195,0.195,0.195,0.195,0.195,5,True
2023-12-19 15:17:00,3646,0.195,0.195,0.195,0.195,0.195,2,True
2023-12-19 15:23:00,1000,0.195,0.195,0.195,0.195,0.195,1,True
2023-12-19 15:25:00,1000,0.195,0.195,0.195,0.195,0.195,1,True
2023-12-19 15:49:00,100,0.25,0.25,0.25,0.25,0.25,1,True
2023-12-19 16:40:00,12000,0.195,0.195,0.195,0.195,0.195,3,True
2023-12-19 16:41:00,2703,0.195,0.195,0.195,0.195,0.195,1,True
2023-12-19 16:42:00,100,0.195,0.195,0.195,0.195,0.195,1,True
2023-12-19 20:57:00,120,0.24,0.24,0.24,0.24,0.24,3,True
2023-12-20 18:00:00,1200,0.0531,0.0531,0.0531,0.0531,0.0531,1,True
2023-12-21 15:34:00,400,0.25,0.25,0.25,0.25,0.25,1,True
2023-12-21 17:57:00,2500,0.25,0.25,0.25,0.25,0.25,1,True
2023-12-21 17:58:00,2500,0.2381,0.228,0.25,0.25,0.228,4,True
2023-12-21 20:24:00,3000,0.2498,0.2498,0.25,0.25,0.2498,3,True
2023-12-21 20:26:00,500,0.2498,0.2498,0.2498,0.2498,0.2498,1,True
2023-12-21 20:36:00,175,0.24,0.24,0.24,0.24,0.24,1,True
2023-12-21 20:37:00,1325,0.25,0.25,0.25,0.25,0.25,1,True
2023-12-21 20:39:00,5000,0.25,0.25,0.25,0.25,0.25,1,True
2023-12-22 15:42:00,3400,0.1,0.1,0.1,0.1,0.1,1,True
2023-12-22 16:07:00,175,0.24,0.24,0.24,0.24,0.24,1,True
2023-12-22 16:08:00,825,0.25,0.25,0.25,0.25,0.25,1,True
2023-12-22 16:13:00,400,0.2498,0.2498,0.2498,0.2498,0.2498,1,True
2023-12-22 16:51:00,500,0.2498,0.2498,0.2498,0.2498,0.2498,1,True
2023-12-22 17:33:00,100,0.2498,0.2498,0.2498,0.2498,0.2498,1,True
2023-12-22 17:34:00,100,0.2498,0.2498,0.2498,0.2498,0.2498,1,True
2023-12-26 14:10:00,1163,4.2743,3.8,4.5,4.5,3.8,24,
2023-12-26 14:12:00,670,4.3993,4.5,4.5,4.5,4.5,23,
2023-12-26 14:13:00,433,4.0151,4.0,4.0,4.0,4.0,16,
2023-12-26 14:14:00,748,3.8956,3.95,3.93,3.95,3.9,16,
2023-12-26 14:15:00,1703,3.7095,3.75,3.75,3.75,3.75,41,
2023-12-26 14:16:00,1065,3.1598,3.36,3.05,3.36,3.05,26,
2023-12-26 14:17:00,898,2.7669,2.73,2.8,2.8,2.73,12,
2023-12-26 14:18:00,1156,3.0277,3.09,2.9,3.1,2.9,22,
2023-12-26 14:19:00,3389,3.1602,3.08,3.14,3.21,3.08,15,
2023-12-26 14:20:00,1980,3.0618,3.15,3.14,3.15,2.97,23,
2023-12-26 14:21:00,1197,2.986,3.0,3.0,3.0,3.0,11,
2023-12-26 14:22:00,713,3.1214,3.14,3.17,3.17,3.14,13,
2023-12-26 14:23:00,1165,2.9265,2.92,2.92,2.92,2.92,13,
2023-12-26 14:24:00,1020,3.0011,3.0,3.0,3.0,3.0,10,
2023-12-26 14:26:00,526,2.8712,2.85,2.85,2.85,2.85,15,
2023-12-26 14:27:00,976,2.7793,2.85,2.71,2.85,2.71,10,
2023-12-26 14:30:00,6107,3.0647,2.99,3.12,3.14,2.94,46,
2023-12-26 14:31:00,8125,3.1711,3.1118,3.37,3.37,3.11,71,
2023-12-26 14:32:00,3024,3.418,3.38,3.47,3.47,3.38,5,
2023-12-26 14:44:00,11652,3.7752,3.76,3.8555,4.0,3.64,96,
2023-12-26 14:45:00,11305,3.9643,3.8,4.2599,4.26,3.7,68,
2023-12-26 14:46:00,9628,4.0364,4.05,3.61,4.27,3.5594,75,
2023-12-26 14:47:00,1940,3.8067,3.83,3.76,3.9,3.59,29,
2023-12-26 14:48:00,1785,3.73,3.79,3.7,3.79,3.67,27,
2023-12-26 14:49:00,1437,3.696,3.7,3.62,3.7,3.62,28,
2023-12-26 14:50:00,1589,3.7353,3.68,3.6987,3.75,3.68,17,
2023-12-26 14:52:00,4672,3.4339,3.65,3.26,3.65,3.26,47,
2023-12-26 14:53:00,3262,3.2335,3.2521,3.22,3.2521,3.21,26,
2023-12-26 14:54:00,1736,3.1764,3.38,3.12,3.38,3.12,21,
2023-12-26 14:55:00,1305,3.0329,3.07,3.02,3.07,3.02,11,
2023-12-26 15:01:00,6964,3.0209,3.0,2.99,3.11,2.99,51,
2023-12-26 15:02:00,8354,3.2311,2.98,3.24,3.33,2.96,77,
2023-12-26 15:03:00,2069,3.2964,3.33,3.27,3.33,3.27,10,
2023-12-26 15:04:00,1895,3.3177,3.3,3.32,3.33,3.3,17,
2023-12-26 15:05:00,14301,3.3324,3.32,3.35,3.35,3.3101,44,
2023-12-26 15:07:00,1012,3.4452,3.5,3.4,3.5,3.4,15,
2023-12-26 15:08:00,5973,3.3277,3.35,3.461,3.4999,3.29,33,
2023-12-26 15:09:00,1871,3.4103,3.2901,3.3,3.4773,3.2901,14,
2023-12-26 15:10:00,985,3.4752,3.46,3.49,3.49,3.46,5,
