t,v,vw,o,c,h,l,n,otc
2023-08-29 16:35:00,500,0.15,0.15,0.15,0.15,0.15,1,True
2023-08-29 16:43:00,2000,0.15,0.15,0.15,0.15,0.15,1,True
2023-08-29 16:49:00,5000,0.15,0.15,0.15,0.15,0.15,1,True
2023-08-29 19:45:00,500,0.195,0.195,0.195,0.195,0.195,1,True
2023-08-30 13:30:00,500,0.195,0.195,0.195,0.195,0.195,1,True
2023-08-31 13:30:00,30000,0.15,0.15,0.15,0.15,0.15,6,True
2023-08-31 13:43:00,100,0.15,0.15,0.15,0.15,0.15,1,True
2023-08-31 13:45:00,100,0.15,0.15,0.15,0.15,0.15,1,True
2023-08-31 16:52:00,5000,0.148,0.148,0.148,0.148,0.148,1,True
2023-09-05 13:30:00,2000,0.14,0.14,0.14,0.14,0.14,1,True
2023-09-05 14:36:00,7000,0.1252,0.1252,0.1252,0.1252,0.1252,1,True
2023-09-05 14:39:00,14915,0.1122,0.1156,0.1101,0.1156,0.1101,4,True
2023-09-05 14:43:00,16000,0.11,0.11,0.11,0.11,0.11,3,True
2023-09-05 15:02:00,2000,0.0999,0.0999,0.0999,0.0999,0.0999,1,True
2023-09-05 16:19:00,248,0.1,0.1,0.1,0.1,0.1,1,True
2023-09-05 16:39:00,370,0.11,0.11,0.11,0.11,0.11,2,True
2023-09-05 16:41:00,50000,0.11,0.11,0.11,0.11,0.11,1,True
2023-09-05 16:43:00,1500,0.11,0.11,0.11,0.11,0.11,2,True
2023-09-05 17:23:00,7807,0.1,0.1,0.1,0.1,0.1,3,True
2023-09-05 17:24:00,700,0.1,0.1,0.1,0.1,0.1,1,True
