t,v,vw,o,c,h,l,n,z,s,e
2024-03-25 08:01:00,372,4.856,4.85,4.86,4.86,4.85,4,93.0,1711353660000,1711353720000
2024-03-25 08:08:00,3592,4.9,4.9,4.9,4.9,4.9,7,513.1428571428571,1711354080000,1711354140000
2024-03-25 08:11:00,9287,4.931,4.89,4.99,4.99,4.89,17,546.2941176470588,1711354260000,1711354320000
2024-03-25 08:16:00,4300,4.9016,4.91,4.9,4.91,4.9,5,860.0,1711354560000,1711354620000
2024-03-25 08:18:00,2000,4.8585,4.85,4.86,4.86,4.85,4,500.0,1711354680000,1711354740000
2024-03-25 08:27:00,367,4.7973,4.79,4.8,4.8,4.79,3,122.33333333333333,1711355220000,1711355280000
2024-03-25 08:41:00,1100,4.7509,4.76,4.75,4.76,4.75,6,183.33333333333334,1711356060000,1711356120000
2024-03-25 08:45:00,151,4.8366,4.84,4.84,4.84,4.84,3,50.333333333333336,1711356300000,1711356360000
2024-03-25 08:49:00,200,4.795,4.79,4.79,4.79,4.79,3,66.66666666666667,1711356540000,1711356600000
2024-03-25 08:54:00,900,4.7322,4.73,4.73,4.75,4.73,7,128.57142857142858,1711356840000,1711356900000
2024-03-25 08:56:00,2000,4.72,4.72,4.72,4.72,4.72,4,500.0,1711356960000,1711357020000
2024-03-25 09:04:00,1540,4.79,4.79,4.79,4.79,4.79,5,308.0,1711357440000,1711357500000
2024-03-25 09:06:00,624,4.79,4.79,4.79,4.79,4.79,2,312.0,1711357560000,1711357620000
2024-03-25 09:08:00,125,4.788,4.79,4.79,4.79,4.79,2,62.5,1711357680000,1711357740000
2024-03-25 09:09:00,700,4.7843,4.78,4.78,4.79,4.78,3,233.33333333333334,1711357740000,1711357800000
2024-03-25 09:17:00,860,4.7386,4.74,4.74,4.74,4.74,5,172.0,1711358220000,1711358280000
2024-03-25 09:23:00,6250,4.7111,4.73,4.7,4.73,4.69,15,416.6666666666667,1711358580000,1711358640000
2024-03-25 09:24:00,675,4.7,4.7,4.7,4.7,4.7,3,225.0,1711358640000,1711358700000
2024-03-25 09:42:00,100,4.73,4.73,4.73,4.73,4.73,1,100.0,1711359720000,1711359780000
2024-03-25 10:14:00,185,4.73,4.73,4.73,4.73,4.73,2,92.5,1711361640000,1711361700000
2024-03-25 10:45:00,157,4.77,4.77,4.77,4.77,4.77,1,157.0,1711363500000,1711363560000
2024-03-25 11:07:00,108,4.73,4.73,4.73,4.73,4.73,2,54.0,1711364820000,1711364880000
2024-03-25 11:09:00,100,4.73,4.73,4.73,4.73,4.73,1,100.0,1711364940000,1711365000000
2024-03-25 11:10:00,100,4.73,4.73,4.73,4.73,4.73,1,100.0,1711365000000,1711365060000
2024-03-25 11:13:00,2827,4.7456,4.75,4.75,4.75,4.72,13,217.46153846153845,1711365180000,1711365240000
2024-03-25 11:14:00,1770,4.7244,4.71,4.72,4.72,4.71,20,88.5,1711365240000,1711365300000
2024-03-25 11:21:00,2033,4.7502,4.75,4.75,4.75,4.75,4,508.25,1711365660000,1711365720000
2024-03-25 11:42:00,8191,4.75,4.75,4.75,4.75,4.75,6,1365.1666666666667,1711366920000,1711366980000
2024-03-25 12:00:00,27092,4.7619,4.73,4.7925,4.8,4.72,33,820.969696969697,1711368000000,1711368060000
2024-03-25 12:05:00,680,4.7364,4.74,4.72,4.74,4.72,6,113.33333333333333,1711368300000,1711368360000
2024-03-25 12:06:00,3955,4.7157,4.71,4.72,4.72,4.71,8,494.375,1711368360000,1711368420000
2024-03-25 12:09:00,374,4.7973,4.7969,4.7969,4.7969,4.7969,2,187.0,1711368540000,1711368600000
2024-03-25 12:11:00,499,4.77,4.77,4.77,4.77,4.77,4,124.75,1711368660000,1711368720000
2024-03-25 12:15:00,669,4.7985,4.7985,4.7985,4.7985,4.7985,1,669.0,1711368900000,1711368960000
