t,v,vw,o,c,h,l,n,otc
2023-12-11 10:06:00,66.7143,7.4984,7.42,7.63,7.63,7.42,6,
2023-12-11 11:39:00,95.8571,7.2156,7.21,7.21,7.21,7.21,11,
2023-12-11 12:00:00,209.0,7.049,7.21,7.0,7.21,7.0,10,
2023-12-11 13:00:00,38.1429,7.2667,7.35,7.35,7.35,7.35,8,
2023-12-11 13:02:00,78.5714,7.6293,7.63,7.63,7.63,7.63,7,
2023-12-11 13:03:00,72.1429,7.6279,7.63,7.63,7.63,7.63,8,
2023-12-11 13:57:00,428.5714,6.9825,6.9825,6.9825,6.9825,6.9825,1,
2023-12-11 14:30:00,4694.7143,6.0599,7.0,5.3683,7.0,5.362,74,
2023-12-11 14:31:00,283.8571,6.5317,5.74,6.1005,6.9426,5.74,11,
2023-12-11 14:32:00,344.2857,6.3539,6.5926,6.58,6.5926,6.3,24,
2023-12-11 14:33:00,777.2857,6.1208,6.1012,6.0368,6.3,6.0368,16,
2023-12-11 14:34:00,2244.2857,5.8282,5.9164,5.9514,6.37,5.698,27,
2023-12-11 14:35:00,4763.4286,5.5573,5.9514,5.705,5.9514,5.39,83,
2023-12-11 14:36:00,369.8571,5.7694,5.775,5.74,5.775,5.74,11,
2023-12-11 14:37:00,207.4286,5.7519,5.74,5.88,5.88,5.74,7,
2023-12-11 14:39:00,760.2857,5.7841,5.88,5.74,5.88,5.74,8,
2023-12-11 14:40:00,30.8571,5.8772,5.8793,5.8793,5.8793,5.8793,4,
2023-12-11 14:41:00,1040.5714,5.8142,5.88,5.88,5.88,5.74,17,
2023-12-11 14:42:00,906.5714,5.7449,5.67,5.8751,5.8751,5.544,13,
2023-12-11 14:43:00,82.8571,5.6469,5.6319,5.6319,5.6319,5.6319,2,
2023-12-11 14:44:00,22.1429,5.5832,5.6469,5.6469,5.6469,5.6469,3,
2023-12-11 14:45:00,720.0,5.6,5.53,5.6469,5.6469,5.53,13,
2023-12-11 14:46:00,160.7143,5.7295,5.6329,5.7389,5.7389,5.6329,4,
2023-12-11 14:47:00,800.0,5.6952,5.733,5.733,5.7393,5.6707,10,
2023-12-11 14:48:00,879.8571,5.7316,5.74,5.7242,5.74,5.7242,16,
2023-12-11 14:49:00,162.8571,5.7022,5.7246,5.67,5.733,5.67,6,
2023-12-11 14:50:00,287.0,5.7337,5.7169,5.74,5.74,5.6728,15,
2023-12-11 14:51:00,215.0,5.8331,5.81,5.8793,5.8793,5.81,3,
2023-12-11 14:52:00,448.2857,5.7883,5.74,5.81,5.8107,5.74,17,
2023-12-11 14:53:00,44.2857,5.8793,5.8793,5.8793,5.8793,5.8793,2,
2023-12-11 14:54:00,63.1429,5.8163,5.81,5.81,5.81,5.81,2,
2023-12-11 14:55:00,347.2857,5.8569,5.88,5.845,5.88,5.845,13,
2023-12-11 14:57:00,168.0,5.8408,5.845,5.845,5.845,5.845,7,
2023-12-11 14:58:00,26.4286,5.845,5.845,5.845,5.845,5.845,1,
2023-12-11 14:59:00,387.8571,5.845,5.845,5.845,5.845,5.845,5,
2023-12-11 15:00:00,170.4286,5.81,5.81,5.81,5.81,5.81,3,
2023-12-11 15:01:00,1003.5714,5.7806,5.81,5.88,5.88,5.74,12,
2023-12-11 15:02:00,71.4286,5.74,5.74,5.74,5.74,5.74,1,
2023-12-11 15:03:00,92.8571,5.8156,5.81,5.81,5.81,5.81,7,
2023-12-11 15:04:00,342.8571,5.7911,5.7746,5.8093,5.8093,5.7572,14,
2023-12-11 15:05:00,143.8571,5.7827,5.8093,5.7561,5.8093,5.7561,4,
2023-12-11 15:06:00,466.7143,5.7428,5.74,5.74,5.7484,5.74,16,
2023-12-11 15:07:00,169.7143,5.7652,5.7407,5.7743,5.8072,5.7407,12,
2023-12-11 15:08:00,149.8571,5.7645,5.7421,5.8086,5.8086,5.74,7,
2023-12-11 15:09:00,65.1429,5.803,5.8086,5.8086,5.8086,5.8086,5,
2023-12-11 15:11:00,314.2857,5.8163,5.8093,5.81,5.866,5.775,8,
2023-12-11 15:12:00,261.1429,5.8695,5.88,5.88,5.88,5.81,8,
2023-12-11 15:13:00,339.5714,5.7729,5.7414,5.81,5.81,5.7414,5,
2023-12-11 15:15:00,786.1429,5.8415,5.81,5.8443,5.88,5.81,11,
2023-12-11 15:16:00,746.1429,5.8163,5.845,5.775,5.845,5.775,14,
2023-12-11 15:18:00,101.4286,5.8093,5.81,5.81,5.81,5.81,8,
2023-12-11 15:19:00,118.2857,5.8093,5.8093,5.8093,5.81,5.8093,5,
2023-12-11 15:21:00,264.2857,5.8093,5.81,5.8093,5.81,5.8093,3,
2023-12-11 15:22:00,71.7143,5.74,5.74,5.74,5.74,5.74,2,
2023-12-11 15:25:00,31.5714,5.8436,5.8443,5.8443,5.8443,5.8443,2,
2023-12-11 15:26:00,36.1429,5.8443,5.8443,5.8443,5.8443,5.8443,2,
2023-12-11 15:27:00,19.2857,5.8443,5.8443,5.8443,5.8443,5.8443,2,
2023-12-11 15:29:00,100.0,5.8443,5.845,5.8443,5.845,5.8443,3,
2023-12-11 15:30:00,158.8571,5.8443,5.8439,5.8439,5.8439,5.8439,1,
2023-12-11 15:32:00,298.2857,5.7554,5.7407,5.775,5.775,5.74,4,
2023-12-11 15:34:00,349.4286,5.8086,5.7806,5.8093,5.81,5.7806,4,
2023-12-11 15:35:00,28.5714,5.81,5.81,5.81,5.81,5.81,2,
2023-12-11 15:40:00,18.5714,5.782,5.775,5.775,5.775,5.775,2,
2023-12-11 15:41:00,436.7143,5.74,5.74,5.7407,5.7407,5.74,12,
2023-12-11 15:43:00,144.5714,5.782,5.81,5.7418,5.81,5.7418,3,
2023-12-11 15:45:00,57.1429,5.7323,5.7323,5.7323,5.7323,5.7323,1,
2023-12-11 15:46:00,285.7143,5.8093,5.8093,5.81,5.81,5.8093,2,
2023-12-11 15:47:00,21.4286,5.7918,5.8093,5.8093,5.8093,5.8093,2,
2023-12-11 15:49:00,21.8571,5.7414,5.74,5.74,5.74,5.74,2,
2023-12-11 15:50:00,180.7143,5.8023,5.803,5.8023,5.803,5.8023,6,
2023-12-11 15:53:00,418.4286,5.7281,5.74,5.705,5.74,5.705,9,
2023-12-11 15:54:00,16.0,5.7001,5.7036,5.7036,5.7036,5.7036,4,
2023-12-11 15:56:00,553.7143,5.6182,5.6735,5.6,5.6735,5.6,21,
2023-12-11 15:57:00,436.1429,5.5314,5.5307,5.53,5.5307,5.53,5,
2023-12-11 15:58:00,286.8571,5.5307,5.5303,5.5303,5.5303,5.5303,2,
2023-12-11 15:59:00,90.2857,5.5951,5.586,5.5993,5.5993,5.586,18,
2023-12-11 16:01:00,513.2857,5.5398,5.6,5.46,5.6,5.46,14,
2023-12-11 16:02:00,421.4286,5.4054,5.46,5.3893,5.46,5.362,28,
2023-12-11 16:03:00,2059.7143,5.3207,5.32,5.355,5.355,5.32,19,
2023-12-11 16:05:00,301.4286,5.4033,5.39,5.46,5.46,5.39,6,
2023-12-11 16:08:00,200.0,5.3914,5.3914,5.3921,5.3921,5.39,6,
2023-12-11 16:09:00,1193.7143,5.3907,5.39,5.46,5.46,5.355,28,
2023-12-11 16:10:00,392.7143,5.4635,5.495,5.3984,5.495,5.3984,13,
2023-12-11 16:11:00,143.1429,5.4775,5.4775,5.4775,5.4775,5.4775,7,
2023-12-11 16:12:00,500.1429,5.4096,5.32,5.53,5.53,5.32,4,
2023-12-11 16:13:00,392.8571,5.4152,5.5252,5.3214,5.5279,5.3214,5,
2023-12-11 16:14:00,185.2857,5.5048,5.424,5.5272,5.5272,5.424,4,
2023-12-11 16:15:00,217.8571,5.5272,5.5272,5.5272,5.5272,5.5272,3,
2023-12-11 16:16:00,42.8571,5.3417,5.3417,5.3417,5.3417,5.3417,1,
2023-12-11 16:18:00,45.2857,5.5279,5.5279,5.5279,5.5279,5.5279,1,
2023-12-11 16:19:00,714.2857,5.4593,5.459,5.459,5.459,5.459,1,
2023-12-11 16:20:00,239.7143,5.4845,5.4243,5.53,5.53,5.4068,12,
2023-12-11 16:21:00,171.5714,5.53,5.53,5.53,5.53,5.53,4,
2023-12-11 16:22:00,287.5714,5.53,5.53,5.53,5.53,5.53,2,
2023-12-11 16:24:00,71.7143,5.46,5.46,5.46,5.46,5.46,2,
2023-12-11 16:25:00,94.5714,5.46,5.46,5.46,5.46,5.46,2,
2023-12-11 16:27:00,14.2857,5.495,5.495,5.495,5.495,5.495,1,
2023-12-11 16:28:00,54.2857,5.53,5.53,5.53,5.53,5.53,2,
2023-12-11 16:29:00,71.4286,5.5188,5.5191,5.5191,5.5191,5.5191,1,
2023-12-11 16:30:00,142.8571,5.53,5.53,5.53,5.53,5.53,1,
2023-12-11 16:31:00,106.2857,5.53,5.53,5.53,5.53,5.53,2,
2023-12-11 16:32:00,71.4286,5.698,5.698,5.698,5.698,5.698,1,
2023-12-11 16:33:00,203.1429,5.6,5.6987,5.4712,5.6987,5.4712,6,
2023-12-11 16:34:00,142.8571,5.5993,5.5993,5.5993,5.5993,5.5993,1,
2023-12-11 16:42:00,17.8571,5.5986,5.5986,5.5986,5.5986,5.5986,1,
2023-12-11 16:44:00,28.7143,5.593,5.593,5.593,5.593,5.593,2,
2023-12-11 16:45:00,207.1429,5.5286,5.5475,5.5041,5.5475,5.5041,9,
2023-12-11 16:50:00,71.8571,5.579,5.593,5.565,5.593,5.565,3,
2023-12-11 16:51:00,28.5714,5.6,5.6,5.6,5.6,5.6,2,
2023-12-11 16:53:00,236.4286,5.5993,5.6,5.6,5.6,5.593,16,
2023-12-11 17:01:00,35.0,5.6,5.6,5.6,5.6,5.6,1,
2023-12-11 17:02:00,28.5714,5.6,5.6,5.6,5.6,5.6,2,
2023-12-11 17:09:00,313.7143,5.5545,5.5965,5.5349,5.5965,5.5307,15,
2023-12-11 17:10:00,28.5714,5.4943,5.4943,5.4943,5.4943,5.4943,2,
2023-12-11 17:12:00,62.0,5.53,5.53,5.53,5.53,5.53,1,
2023-12-11 17:19:00,172.2857,5.6028,5.6,5.635,5.635,5.6,7,
2023-12-11 17:20:00,93.0,5.5629,5.6,5.5307,5.6,5.5307,5,
2023-12-11 17:23:00,29.0,5.67,5.67,5.67,5.67,5.67,3,
2023-12-11 17:27:00,300.8571,5.5979,5.5993,5.5993,5.6,5.565,12,
2023-12-11 17:28:00,184.1429,5.5965,5.6,5.6,5.6,5.6,3,
2023-12-11 17:41:00,49.7143,5.5643,5.5643,5.5643,5.5643,5.5643,2,
2023-12-11 17:48:00,14.4286,5.5307,5.5307,5.5307,5.5307,5.5307,2,
2023-12-11 17:52:00,314.5714,5.5293,5.5654,5.53,5.5657,5.474,27,
2023-12-11 17:54:00,141.0,5.5853,5.5608,5.5993,5.5993,5.5608,7,
2023-12-11 17:55:00,42.8571,5.46,5.46,5.46,5.46,5.46,1,
2023-12-11 17:57:00,47.7143,5.46,5.46,5.46,5.46,5.46,1,
2023-12-11 17:58:00,61.4286,5.6,5.6,5.6,5.6,5.6,1,
2023-12-11 18:01:00,142.8571,5.5643,5.53,5.5993,5.5993,5.53,2,
2023-12-11 18:05:00,142.8571,5.5993,5.5993,5.5993,5.5993,5.5993,1,
2023-12-11 18:14:00,528.5714,5.4747,5.4747,5.4747,5.4747,5.4747,1,
2023-12-11 18:16:00,951.4286,5.5909,5.4747,5.5993,5.5993,5.4747,13,
2023-12-11 18:17:00,165.5714,5.4691,5.474,5.4607,5.4894,5.46,12,
2023-12-11 18:18:00,71.5714,5.5993,5.5993,5.5993,5.5993,5.5993,3,
2023-12-11 18:21:00,130.5714,5.5167,5.5986,5.4327,5.5986,5.4327,6,
2023-12-11 18:26:00,28.5714,5.5986,5.5986,5.5986,5.5986,5.5986,2,
2023-12-11 18:29:00,71.4286,5.5986,5.5986,5.5986,5.5986,5.5986,4,
2023-12-11 18:31:00,50.8571,5.5853,5.5986,5.5986,5.5986,5.5986,5,
2023-12-11 18:32:00,25.2857,5.5881,5.5852,5.5852,5.5852,5.5852,5,
2023-12-11 18:36:00,71.0,5.4607,5.4607,5.4607,5.4607,5.4607,3,
2023-12-11 18:41:00,1900.0,5.5972,5.5993,5.474,5.5993,5.474,4,
2023-12-11 18:46:00,125.8571,5.5909,5.5986,5.5986,5.5986,5.5986,7,
2023-12-11 18:49:00,15.0,5.5965,5.5979,5.5979,5.5979,5.5979,2,
2023-12-11 18:53:00,33.8571,5.5979,5.5979,5.5979,5.5979,5.5979,3,
2023-12-11 18:57:00,32.8571,5.5979,5.5979,5.5979,5.5979,5.5979,3,
2023-12-11 19:01:00,40.4286,5.5979,5.5979,5.5979,5.5979,5.5979,1,
2023-12-11 19:07:00,48.8571,5.5979,5.5979,5.5979,5.5979,5.5979,6,
2023-12-11 19:08:00,30.5714,5.5902,5.5902,5.5902,5.5902,5.5902,1,
2023-12-11 19:09:00,42.8571,5.5293,5.529,5.529,5.529,5.529,1,
2023-12-11 19:12:00,71.4286,5.5979,5.5979,5.5979,5.5979,5.5979,1,
2023-12-11 19:15:00,57.1429,5.5286,5.529,5.529,5.529,5.529,1,
2023-12-11 19:21:00,48.1429,5.5979,5.5979,5.5979,5.5979,5.5979,5,
2023-12-11 19:28:00,94.1429,5.5979,5.5979,5.5979,5.5979,5.5979,10,
2023-12-11 19:32:00,146.2857,5.5979,5.5979,5.5979,5.5979,5.5979,6,
2023-12-11 19:33:00,771.0,5.5986,5.5993,5.5993,5.5993,5.5807,20,
2023-12-11 19:35:00,14.2857,5.5993,5.5993,5.5993,5.5993,5.5993,1,
2023-12-11 19:38:00,260.4286,5.6035,5.6,5.6,5.67,5.6,11,
2023-12-11 19:45:00,14.2857,5.67,5.67,5.67,5.67,5.67,1,
2023-12-11 19:46:00,67.0,5.586,5.6091,5.5496,5.6091,5.5496,5,
2023-12-11 19:49:00,264.2857,5.6021,5.6042,5.6182,5.6182,5.6,11,
2023-12-11 19:50:00,80.0,5.6056,5.6,5.6,5.6,5.6,5,
2023-12-11 19:56:00,57.1429,5.6189,5.6189,5.6189,5.6189,5.6189,4,
2023-12-11 19:57:00,71.4286,5.6189,5.6189,5.6189,5.6189,5.6182,5,
2023-12-11 19:58:00,142.8571,5.6189,5.6189,5.6182,5.6189,5.6182,4,
2023-12-11 20:02:00,85.7143,5.6098,5.6095,5.6095,5.6095,5.6095,1,
2023-12-11 20:06:00,142.8571,5.6007,5.6007,5.6007,5.6007,5.6007,1,
2023-12-11 20:07:00,228.5714,5.6028,5.6095,5.6,5.6095,5.6,6,
2023-12-11 20:08:00,285.7143,5.551,5.551,5.551,5.551,5.551,1,
2023-12-11 20:12:00,28.5714,5.5517,5.5517,5.5517,5.5517,5.5517,1,
2023-12-11 20:14:00,14.2857,5.6189,5.6188,5.6188,5.6188,5.6188,1,
2023-12-11 20:15:00,550.0,5.6168,5.6182,5.6182,5.6189,5.5517,19,
2023-12-11 20:18:00,21.4286,5.6182,5.6189,5.6189,5.6189,5.6189,2,
2023-12-11 20:19:00,111.5714,5.6693,5.67,5.6693,5.67,5.6693,7,
2023-12-11 20:21:00,742.8571,5.6238,5.6441,5.5517,5.6693,5.5517,12,
2023-12-11 20:24:00,142.8571,5.5524,5.5524,5.5524,5.5524,5.5524,1,
2023-12-11 20:27:00,142.8571,5.5531,5.5529,5.5529,5.5529,5.5529,1,
2023-12-11 20:29:00,57.8571,5.5923,5.565,5.6693,5.6693,5.565,3,
2023-12-11 20:30:00,300.4286,5.6077,5.6693,5.6175,5.6693,5.5657,7,
2023-12-11 20:31:00,1428.5714,5.5657,5.565,5.5661,5.5661,5.565,4,
2023-12-11 20:32:00,16.4286,5.6175,5.6175,5.6175,5.6175,5.6175,2,
2023-12-11 20:33:00,142.8571,5.6084,5.6,5.614,5.614,5.6,4,
2023-12-11 20:34:00,177.4286,5.614,5.6,5.6175,5.6175,5.6,3,
2023-12-11 20:35:00,194.2857,5.628,5.6287,5.67,5.67,5.6175,5,
2023-12-11 20:36:00,112.1429,5.6686,5.6679,5.6693,5.6693,5.6679,8,
2023-12-11 20:37:00,262.5714,5.6,5.6,5.6693,5.6693,5.5657,3,
2023-12-11 20:38:00,142.8571,5.6175,5.6175,5.6175,5.6175,5.6175,1,
2023-12-11 20:39:00,144.5714,5.6217,5.621,5.621,5.621,5.621,2,
2023-12-11 20:40:00,435.5714,5.6252,5.6245,5.5867,5.67,5.5867,7,
2023-12-11 20:41:00,157.1429,5.6315,5.6693,5.628,5.6693,5.628,2,
2023-12-11 20:42:00,285.7143,5.6091,5.5909,5.628,5.628,5.5909,3,
2023-12-11 20:43:00,228.5714,5.6308,5.6287,5.628,5.67,5.628,16,
2023-12-11 20:44:00,1157.1429,5.6042,5.6287,5.6218,5.6693,5.6,10,
2023-12-11 20:45:00,603.5714,5.6056,5.6,5.6315,5.6315,5.6,15,
2023-12-11 20:46:00,1185.7143,5.5909,5.593,5.5923,5.593,5.586,26,
2023-12-11 20:49:00,71.4286,5.67,5.67,5.67,5.67,5.67,2,
2023-12-11 20:51:00,71.4286,5.6,5.6693,5.5825,5.6693,5.5825,2,
2023-12-11 20:52:00,57.1429,5.5797,5.5797,5.5797,5.5797,5.5797,1,
2023-12-11 20:54:00,25.7143,5.6315,5.6693,5.6693,5.6693,5.6693,2,
2023-12-11 20:55:00,32.8571,5.67,5.67,5.67,5.67,5.67,2,
2023-12-11 20:57:00,82.0,5.67,5.67,5.67,5.67,5.67,6,
2023-12-11 20:58:00,718.5714,5.67,5.67,5.67,5.67,5.67,3,
2023-12-11 20:59:00,663.8571,5.67,5.67,5.67,5.67,5.67,11,
2023-12-11 21:09:00,14.2857,5.6987,5.6987,5.6987,5.6987,5.6987,1,
2023-12-11 21:10:00,14.2857,5.6987,5.6987,5.6987,5.6987,5.6987,1,
2023-12-11 21:16:00,142.8571,5.6987,5.6984,5.6984,5.6984,5.6984,1,
2023-12-11 21:26:00,28.5714,5.67,5.67,5.67,5.67,5.67,1,
2023-12-11 21:35:00,71.4286,5.67,5.67,5.67,5.67,5.67,2,
2023-12-11 21:48:00,285.7143,5.6,5.6,5.6,5.6,5.6,3,
2023-12-11 22:47:00,70.5714,5.67,5.67,5.67,5.67,5.67,2,
2023-12-11 22:54:00,14.2857,5.6,5.6,5.6,5.6,5.6,1,
2023-12-11 23:04:00,42.8571,5.698,5.698,5.698,5.698,5.698,1,
2023-12-12 10:07:00,49.2857,5.313,5.313,5.313,5.313,5.313,2,
2023-12-12 10:18:00,70.5714,5.3186,5.3228,5.313,5.3228,5.313,5,
2023-12-12 12:00:00,42.8571,5.6,5.6,5.6,5.6,5.6,1,
2023-12-12 12:33:00,14.2857,5.635,5.635,5.635,5.635,5.635,1,
2023-12-12 12:36:00,57.1429,5.705,5.705,5.705,5.705,5.705,2,
2023-12-12 13:03:00,50.1429,5.7624,5.705,5.81,5.81,5.705,3,
2023-12-12 13:17:00,28.5714,5.6,5.6,5.6,5.6,5.6,1,
2023-12-12 13:38:00,142.8571,5.6,5.6,5.6,5.6,5.6,1,
