t,v,vw,o,c,h,l,n,z,s,e
2024-02-05 13:00:00,533,1.7659,1.77,1.77,1.77,1.77,13,41.0,1707138000000,1707138060000
2024-02-05 13:15:00,208,1.7424,1.7432,1.7432,1.7432,1.7432,2,104.0,1707138900000,1707138960000
2024-02-05 13:22:00,500,1.77,1.77,1.77,1.77,1.77,1,500.0,1707139320000,1707139380000
2024-02-05 13:46:00,1705,1.75,1.75,1.75,1.75,1.75,1,1705.0,1707140760000,1707140820000
2024-02-05 13:55:00,102,1.79,1.79,1.79,1.79,1.79,1,102.0,1707141300000,1707141360000
2024-02-05 14:02:00,802,1.7899,1.79,1.79,1.79,1.79,2,401.0,1707141720000,1707141780000
2024-02-05 14:15:00,200,1.78,1.78,1.78,1.78,1.78,1,200.0,1707142500000,1707142560000
2024-02-05 14:24:00,300,1.798,1.7967,1.8,1.8,1.7967,2,150.0,1707143040000,1707143100000
2024-02-05 14:30:00,29932,1.7303,1.73,1.735,1.75,1.725,153,195.63398692810458,1707143400000,1707143460000
2024-02-05 14:31:00,11974,1.7317,1.73,1.7396,1.74,1.725,54,221.74074074074073,1707143460000,1707143520000
2024-02-05 14:32:00,1795,1.741,1.74,1.74,1.745,1.74,20,89.75,1707143520000,1707143580000
2024-02-05 14:33:00,2366,1.7378,1.74,1.735,1.74,1.735,7,338.0,1707143580000,1707143640000
2024-02-05 14:34:00,3738,1.7394,1.7389,1.74,1.74,1.735,27,138.44444444444446,1707143640000,1707143700000
2024-02-05 14:35:00,4305,1.7287,1.73,1.73,1.73,1.72,15,287.0,1707143700000,1707143760000
2024-02-05 14:36:00,3311,1.7194,1.725,1.71,1.725,1.71,23,143.95652173913044,1707143760000,1707143820000
2024-02-05 14:37:00,21913,1.7075,1.71,1.71,1.715,1.7003,77,284.5844155844156,1707143820000,1707143880000
2024-02-05 14:38:00,3624,1.7201,1.71,1.73,1.73,1.71,24,151.0,1707143880000,1707143940000
2024-02-05 14:39:00,4662,1.721,1.7297,1.72,1.73,1.72,19,245.3684210526316,1707143940000,1707144000000
2024-02-05 14:40:00,1659,1.7173,1.72,1.71,1.72,1.71,21,79.0,1707144000000,1707144060000
2024-02-05 14:41:00,2805,1.7101,1.7105,1.71,1.7105,1.71,8,350.625,1707144060000,1707144120000
2024-02-05 14:42:00,955,1.719,1.715,1.72,1.72,1.715,9,106.11111111111111,1707144120000,1707144180000
2024-02-05 14:43:00,2341,1.7319,1.7206,1.73,1.735,1.7206,25,93.64,1707144180000,1707144240000
2024-02-05 14:44:00,6382,1.7306,1.73,1.735,1.74,1.725,43,148.41860465116278,1707144240000,1707144300000
2024-02-05 14:45:00,2991,1.7338,1.74,1.73,1.74,1.73,20,149.55,1707144300000,1707144360000
2024-02-05 14:46:00,428,1.7399,1.74,1.7399,1.74,1.7399,6,71.33333333333333,1707144360000,1707144420000
2024-02-05 14:47:00,774,1.7397,1.74,1.74,1.74,1.74,9,86.0,1707144420000,1707144480000
2024-02-05 14:48:00,2599,1.74,1.74,1.74,1.74,1.74,15,173.26666666666668,1707144480000,1707144540000
2024-02-05 14:49:00,748,1.734,1.74,1.73,1.74,1.73,10,74.8,1707144540000,1707144600000
2024-02-05 14:51:00,13593,1.7209,1.73,1.7199,1.7386,1.71,65,209.12307692307692,1707144660000,1707144720000
2024-02-05 14:52:00,3758,1.7238,1.72,1.7277,1.73,1.72,17,221.05882352941177,1707144720000,1707144780000
2024-02-05 14:53:00,700,1.7291,1.725,1.73,1.73,1.725,5,140.0,1707144780000,1707144840000
2024-02-05 14:54:00,1007,1.731,1.73,1.735,1.735,1.73,9,111.88888888888889,1707144840000,1707144900000
2024-02-05 14:55:00,790,1.735,1.735,1.735,1.735,1.735,9,87.77777777777777,1707144900000,1707144960000
2024-02-05 14:56:00,205,1.7349,1.735,1.735,1.735,1.735,4,51.25,1707144960000,1707145020000
2024-02-05 14:57:00,5147,1.7387,1.735,1.74,1.74,1.73,41,125.53658536585365,1707145020000,1707145080000
2024-02-05 14:58:00,2592,1.7413,1.74,1.7495,1.7495,1.74,6,432.0,1707145080000,1707145140000
2024-02-05 14:59:00,1173,1.7432,1.745,1.745,1.745,1.74,13,90.23076923076923,1707145140000,1707145200000
2024-02-05 15:00:00,839,1.7431,1.74,1.745,1.745,1.74,10,83.9,1707145200000,1707145260000
2024-02-05 15:01:00,4947,1.7434,1.745,1.745,1.745,1.74,38,130.18421052631578,1707145260000,1707145320000
2024-02-05 15:03:00,1072,1.7422,1.741,1.745,1.745,1.74,7,153.14285714285714,1707145380000,1707145440000
2024-02-05 15:04:00,757,1.7477,1.75,1.745,1.75,1.745,9,84.11111111111111,1707145440000,1707145500000
2024-02-05 15:06:00,405,1.7427,1.7403,1.7499,1.7499,1.7403,3,135.0,1707145560000,1707145620000
2024-02-05 15:07:00,44090,1.7244,1.745,1.73,1.745,1.71,186,237.04301075268816,1707145620000,1707145680000
2024-02-05 15:08:00,3694,1.7366,1.73,1.73,1.74,1.73,23,160.6086956521739,1707145680000,1707145740000
2024-02-05 15:09:00,5105,1.73,1.7304,1.725,1.7304,1.725,22,232.04545454545453,1707145740000,1707145800000
2024-02-05 15:11:00,595,1.729,1.73,1.73,1.73,1.73,7,85.0,1707145860000,1707145920000
2024-02-05 15:12:00,5193,1.7372,1.7299,1.7399,1.74,1.7299,35,148.37142857142857,1707145920000,1707145980000
2024-02-05 15:13:00,291,1.7389,1.7399,1.7399,1.7399,1.7399,5,58.2,1707145980000,1707146040000
2024-02-05 15:14:00,9127,1.739,1.735,1.74,1.745,1.735,28,325.9642857142857,1707146040000,1707146100000
2024-02-05 15:15:00,100,1.75,1.75,1.75,1.75,1.75,1,100.0,1707146100000,1707146160000
2024-02-05 15:16:00,638,1.7439,1.745,1.745,1.745,1.74,8,79.75,1707146160000,1707146220000
2024-02-05 15:18:00,4895,1.7402,1.74,1.74,1.745,1.735,33,148.33333333333334,1707146280000,1707146340000
2024-02-05 15:19:00,1036,1.74,1.74,1.74,1.74,1.74,13,79.6923076923077,1707146340000,1707146400000
2024-02-05 15:20:00,510,1.7444,1.745,1.74,1.745,1.74,8,63.75,1707146400000,1707146460000
2024-02-05 15:21:00,5649,1.7399,1.7405,1.735,1.7405,1.735,10,564.9,1707146460000,1707146520000
2024-02-05 15:23:00,11331,1.7396,1.74,1.735,1.74,1.735,9,1259.0,1707146580000,1707146640000
2024-02-05 15:26:00,133,1.735,1.735,1.735,1.735,1.735,2,66.5,1707146760000,1707146820000
2024-02-05 15:27:00,924,1.7388,1.74,1.735,1.74,1.735,13,71.07692307692308,1707146820000,1707146880000
2024-02-05 15:28:00,233,1.7394,1.74,1.74,1.74,1.74,5,46.6,1707146880000,1707146940000
2024-02-05 15:30:00,100,1.73,1.73,1.73,1.73,1.73,1,100.0,1707147000000,1707147060000
2024-02-05 15:31:00,1105,1.736,1.736,1.736,1.736,1.736,2,552.5,1707147060000,1707147120000
