t,v,vw,o,c,h,l,n,z,s,e
2024-01-04 12:00:00,406,6.0301,6.03,6.03,6.03,6.03,9,45.111111111111114,1704369600000,1704369660000
2024-01-04 12:04:00,300,6.03,6.03,6.03,6.03,6.03,1,300.0,1704369840000,1704369900000
2024-01-04 12:05:00,2610,6.0299,6.03,6.03,6.03,6.03,2,1305.0,1704369900000,1704369960000
2024-01-04 13:00:00,499,6.0438,6.0298,6.05,6.05,6.0298,21,23.761904761904763,1704373200000,1704373260000
2024-01-04 13:32:00,200,6.02,6.02,6.02,6.02,6.02,2,100.0,1704375120000,1704375180000
2024-01-04 13:33:00,201,6.0297,6.0297,6.0297,6.0297,6.0297,2,100.5,1704375180000,1704375240000
2024-01-04 13:44:00,102,6.03,6.03,6.03,6.03,6.03,2,51.0,1704375840000,1704375900000
2024-01-04 14:00:00,1660,6.0137,6.02,6.01,6.02,6.01,20,83.0,1704376800000,1704376860000
2024-01-04 14:17:00,246,6.0227,6.0288,6.0288,6.0288,6.0288,3,82.0,1704377820000,1704377880000
2024-01-04 14:22:00,142,6.0187,6.02,6.02,6.02,6.02,5,28.4,1704378120000,1704378180000
2024-01-04 14:28:00,602,6.0101,6.01,6.0101,6.0101,6.01,4,150.5,1704378480000,1704378540000
2024-01-04 14:30:00,48162,6.0003,6.0,6.0,6.01,6.0,167,288.3952095808383,1704378600000,1704378660000
2024-01-04 14:31:00,1763,6.0026,6.0017,6.005,6.005,6.0,18,97.94444444444444,1704378660000,1704378720000
2024-01-04 14:32:00,2043,6.0103,6.01,6.01,6.0113,6.01,21,97.28571428571429,1704378720000,1704378780000
2024-01-04 14:33:00,2780,6.0102,6.0101,6.0109,6.0109,6.01,20,139.0,1704378780000,1704378840000
2024-01-04 14:34:00,957,6.0062,6.01,6.0028,6.01,6.0028,19,50.36842105263158,1704378840000,1704378900000
2024-01-04 14:35:00,7814,6.0041,6.0041,6.005,6.005,6.0041,12,651.1666666666666,1704378900000,1704378960000
2024-01-04 14:36:00,1092,6.0056,6.005,6.005,6.01,6.005,8,136.5,1704378960000,1704379020000
2024-01-04 14:37:00,3075,6.0177,6.01,6.015,6.0201,6.01,34,90.44117647058823,1704379020000,1704379080000
2024-01-04 14:38:00,5457,6.0122,6.0194,6.0199,6.0199,6.0117,13,419.7692307692308,1704379080000,1704379140000
2024-01-04 14:39:00,5110,6.0203,6.02,6.02,6.0264,6.02,16,319.375,1704379140000,1704379200000
2024-01-04 14:40:00,1145,6.0159,6.0185,6.01,6.0185,6.01,6,190.83333333333334,1704379200000,1704379260000
2024-01-04 14:41:00,1213,6.0145,6.0145,6.0145,6.0145,6.0145,16,75.8125,1704379260000,1704379320000
2024-01-04 14:42:00,310,6.02,6.02,6.02,6.02,6.02,5,62.0,1704379320000,1704379380000
2024-01-04 14:43:00,925,6.0283,6.03,6.03,6.03,6.025,18,51.388888888888886,1704379380000,1704379440000
2024-01-04 14:44:00,6118,6.0324,6.03,6.04,6.04,6.0299,38,161.0,1704379440000,1704379500000
2024-01-04 14:45:00,3968,6.0405,6.045,6.045,6.045,6.0399,43,92.27906976744185,1704379500000,1704379560000
2024-01-04 14:46:00,2597,6.0459,6.04,6.05,6.05,6.04,24,108.20833333333333,1704379560000,1704379620000
2024-01-04 14:47:00,11155,6.049,6.0431,6.0562,6.0562,6.0401,38,293.55263157894734,1704379620000,1704379680000
