t,v,vw,o,c,h,l,n,z,s,e
2023-06-12 08:07:00,1236.0,39.0127,39.0,39.01,39.01,39.0,17,72.70588235294117,1686557220000,1686557280000
2023-06-12 08:35:00,100.0,39.09,39.09,39.09,39.09,39.09,1,100.0,1686558900000,1686558960000
2023-06-12 08:36:00,281.0,39.0927,39.09,39.09,39.09,39.09,5,56.2,1686558960000,1686559020000
2023-06-12 08:39:00,502.0,39.09,39.09,39.09,39.09,39.09,2,251.0,1686559140000,1686559200000
2023-06-12 08:50:00,1004.0,39.0929,39.09,39.1,39.1,39.09,13,77.23076923076923,1686559800000,1686559860000
2023-06-12 09:45:00,112.0,39.07,39.07,39.07,39.07,39.07,1,112.0,1686563100000,1686563160000
2023-06-12 09:56:00,110.0,39.0609,39.06,39.06,39.06,39.06,3,36.666666666666664,1686563760000,1686563820000
2023-06-12 10:25:00,501.0,39.0443,39.04,39.04,39.04,39.04,9,55.666666666666664,1686565500000,1686565560000
2023-06-12 10:56:00,338.0,39.0063,39.0,39.0,39.0,39.0,20,16.9,1686567360000,1686567420000
2023-06-12 11:00:00,730.0,39.0,39.0,39.0,39.0,39.0,18,40.55555555555556,1686567600000,1686567660000
2023-06-12 11:02:00,466.0,39.02,39.02,39.02,39.02,39.02,2,233.0,1686567720000,1686567780000
2023-06-12 11:31:00,150.0,39.03,39.03,39.03,39.03,39.03,1,150.0,1686569460000,1686569520000
2023-06-12 11:54:00,899.0,39.03,39.03,39.03,39.03,39.03,9,99.88888888888889,1686570840000,1686570900000
2023-06-12 12:00:00,4568.0,39.0279,39.03,39.01,39.03,39.01,52,87.84615384615384,1686571200000,1686571260000
2023-06-12 12:01:00,930.0,39.0053,38.97,38.97,38.97,38.97,85,10.941176470588236,1686571260000,1686571320000
2023-06-12 12:02:00,3856.0,39.014,38.97,39.01,39.05,38.97,87,44.32183908045977,1686571320000,1686571380000
2023-06-12 12:04:00,701.0,39.0001,39.0,39.0,39.0,39.0,2,350.5,1686571440000,1686571500000
2023-06-12 12:05:00,561.0,39.0536,39.06,39.06,39.06,39.06,15,37.4,1686571500000,1686571560000
2023-06-12 12:09:00,501.0,39.0101,39.01,39.01,39.01,39.01,2,250.5,1686571740000,1686571800000
2023-06-12 12:13:00,204.0,39.074,39.0683,39.0799,39.0799,39.0683,4,51.0,1686571980000,1686572040000
2023-06-12 12:16:00,192.0,39.0206,39.02,39.02,39.02,39.02,7,27.428571428571427,1686572160000,1686572220000
2023-06-12 12:23:00,400.0,39.0,39.0,39.0,39.0,39.0,1,400.0,1686572580000,1686572640000
2023-06-12 12:24:00,402.0,39.0003,39.0,39.0,39.0,39.0,3,134.0,1686572640000,1686572700000
2023-06-12 12:28:00,232.0,39.05,39.05,39.05,39.05,39.05,4,58.0,1686572880000,1686572940000
2023-06-12 12:29:00,266.0,39.0511,39.05,39.05,39.05,39.05,4,66.5,1686572940000,1686573000000
2023-06-12 12:33:00,124.0,39.0667,39.08,39.08,39.08,39.08,9,13.777777777777779,1686573180000,1686573240000
