t,v,vw,o,c,h,l,n,z,s,e
2023-12-04 09:51:00,277,3.5128,3.51,3.51,3.51,3.51,3,92.33333333333333,1701683460000,1701683520000
2023-12-04 12:36:00,134,3.4793,3.48,3.48,3.48,3.48,3,44.666666666666664,1701693360000,1701693420000
2023-12-04 13:03:00,775,3.47,3.47,3.47,3.47,3.47,2,387.5,1701694980000,1701695040000
2023-12-04 13:14:00,100,3.47,3.47,3.47,3.47,3.47,1,100.0,1701695640000,1701695700000
2023-12-04 13:18:00,871,3.48,3.48,3.48,3.48,3.48,6,145.16666666666666,1701695880000,1701695940000
2023-12-04 13:31:00,300,3.48,3.48,3.48,3.48,3.48,2,150.0,1701696660000,1701696720000
2023-12-04 14:24:00,558,3.5018,3.5,3.51,3.51,3.5,4,139.5,1701699840000,1701699900000
2023-12-04 14:30:00,12352,3.4929,3.52,3.52,3.52,3.49,53,233.0566037735849,1701700200000,1701700260000
2023-12-04 14:31:00,5839,3.5013,3.51,3.5003,3.51,3.5001,21,278.04761904761904,1701700260000,1701700320000
2023-12-04 14:32:00,5150,3.5591,3.53,3.57,3.58,3.53,48,107.29166666666667,1701700320000,1701700380000
2023-12-04 14:33:00,488,3.5527,3.5503,3.558,3.558,3.5503,8,61.0,1701700380000,1701700440000
2023-12-04 14:34:00,2313,3.55,3.55,3.55,3.55,3.55,8,289.125,1701700440000,1701700500000
2023-12-04 14:35:00,101,3.5701,3.57,3.57,3.57,3.57,2,50.5,1701700500000,1701700560000
2023-12-04 14:36:00,1633,3.5903,3.59,3.59,3.59,3.59,25,65.32,1701700560000,1701700620000
2023-12-04 14:37:00,4593,3.5967,3.5999,3.5825,3.61,3.5825,41,112.02439024390245,1701700620000,1701700680000
2023-12-04 14:38:00,1126,3.6086,3.5917,3.6126,3.6126,3.5917,8,140.75,1701700680000,1701700740000
2023-12-04 14:40:00,3479,3.633,3.6213,3.6292,3.6492,3.6213,17,204.64705882352942,1701700800000,1701700860000
2023-12-04 14:41:00,200,3.622,3.625,3.619,3.625,3.619,2,100.0,1701700860000,1701700920000
2023-12-04 14:42:00,522,3.6108,3.61,3.61,3.61,3.61,6,87.0,1701700920000,1701700980000
2023-12-04 14:43:00,695,3.6058,3.6,3.6054,3.6054,3.6,9,77.22222222222223,1701700980000,1701701040000
2023-12-04 14:44:00,6833,3.6125,3.6009,3.62,3.62,3.6009,27,253.07407407407408,1701701040000,1701701100000
2023-12-04 14:45:00,488,3.6325,3.63,3.6479,3.6479,3.6201,11,44.36363636363637,1701701100000,1701701160000
2023-12-04 14:46:00,1738,3.6501,3.65,3.65,3.65,3.65,13,133.69230769230768,1701701160000,1701701220000
2023-12-04 14:47:00,101,3.66,3.66,3.66,3.66,3.66,2,50.5,1701701220000,1701701280000
2023-12-04 14:48:00,1277,3.6654,3.669,3.655,3.669,3.655,12,106.41666666666667,1701701280000,1701701340000
2023-12-04 14:49:00,1259,3.6582,3.6506,3.6599,3.66,3.6506,7,179.85714285714286,1701701340000,1701701400000
2023-12-04 14:51:00,871,3.6485,3.655,3.645,3.655,3.645,6,145.16666666666666,1701701460000,1701701520000
2023-12-04 14:52:00,8588,3.668,3.65,3.6685,3.68,3.65,24,357.8333333333333,1701701520000,1701701580000
2023-12-04 14:53:00,1727,3.6443,3.67,3.6387,3.67,3.63,13,132.84615384615384,1701701580000,1701701640000
2023-12-04 14:54:00,736,3.621,3.625,3.62,3.625,3.62,9,81.77777777777777,1701701640000,1701701700000
2023-12-04 14:55:00,1690,3.6199,3.62,3.62,3.62,3.62,6,281.6666666666667,1701701700000,1701701760000
2023-12-04 14:56:00,19388,3.6072,3.6001,3.6199,3.631,3.5989,48,403.9166666666667,1701701760000,1701701820000
2023-12-04 14:57:00,1391,3.6197,3.62,3.62,3.62,3.62,19,73.21052631578948,1701701820000,1701701880000
2023-12-04 14:58:00,217,3.6347,3.63,3.64,3.64,3.63,4,54.25,1701701880000,1701701940000
2023-12-04 15:00:00,159,3.6323,3.635,3.635,3.635,3.635,6,26.5,1701702000000,1701702060000
2023-12-04 15:01:00,469,3.6388,3.64,3.635,3.64,3.635,13,36.07692307692308,1701702060000,1701702120000
2023-12-04 15:02:00,1915,3.641,3.64,3.65,3.65,3.63,28,68.39285714285714,1701702120000,1701702180000
2023-12-04 15:04:00,116,3.6576,3.6587,3.6587,3.6587,3.6587,4,29.0,1701702240000,1701702300000
2023-12-04 15:05:00,20264,3.6977,3.655,3.68,3.715,3.655,111,182.55855855855856,1701702300000,1701702360000
2023-12-04 15:06:00,1476,3.6816,3.69,3.68,3.69,3.675,18,82.0,1701702360000,1701702420000
2023-12-04 15:07:00,1687,3.675,3.68,3.6701,3.68,3.67,15,112.46666666666667,1701702420000,1701702480000
2023-12-04 15:08:00,1132,3.6796,3.675,3.6892,3.6892,3.675,12,94.33333333333333,1701702480000,1701702540000
2023-12-04 15:09:00,578,3.6909,3.695,3.69,3.695,3.69,8,72.25,1701702540000,1701702600000
2023-12-04 15:10:00,60639,3.7408,3.68,3.7477,3.76,3.68,202,300.1930693069307,1701702600000,1701702660000
2023-12-04 15:11:00,7684,3.7294,3.7499,3.71,3.75,3.71,33,232.84848484848484,1701702660000,1701702720000
2023-12-04 15:12:00,345,3.7094,3.71,3.71,3.71,3.71,9,38.333333333333336,1701702720000,1701702780000
2023-12-04 15:13:00,10394,3.7133,3.7093,3.7199,3.72,3.7093,21,494.95238095238096,1701702780000,1701702840000
2023-12-04 15:14:00,3945,3.72,3.72,3.73,3.73,3.71,40,98.625,1701702840000,1701702900000
2023-12-04 15:15:00,222,3.7391,3.74,3.7388,3.74,3.7388,4,55.5,1701702900000,1701702960000
2023-12-04 15:16:00,797,3.7465,3.745,3.7494,3.7494,3.745,9,88.55555555555556,1701702960000,1701703020000
2023-12-04 15:17:00,4252,3.7495,3.7496,3.7493,3.7496,3.7493,10,425.2,1701703020000,1701703080000
2023-12-04 15:18:00,8991,3.7658,3.75,3.7601,3.77,3.75,54,166.5,1701703080000,1701703140000
2023-12-04 15:19:00,4032,3.7564,3.75,3.755,3.76,3.75,17,237.1764705882353,1701703140000,1701703200000
2023-12-04 15:20:00,1499,3.7469,3.75,3.745,3.75,3.745,15,99.93333333333334,1701703200000,1701703260000
2023-12-04 15:21:00,8404,3.7276,3.75,3.72,3.75,3.72,81,103.75308641975309,1701703260000,1701703320000
2023-12-04 15:22:00,43496,3.7198,3.72,3.7,3.725,3.69,23,1891.1304347826087,1701703320000,1701703380000
